kabupaten_kota,tahun,pdrb_adhb_juta_rp,pdrb_adhk_juta_rp,tpak_persen,tpt_persen,jumlah_penduduk_ribu,kepadatan_penduduk_km2,rasio_jenis_kelamin,laju_pertumbuhan_persen,pma_ribu_usd,pmdn_juta_rp,pdrb_growth_persen,kategori_wilayah,periode_ikn
Balikpapan,2015,120.78,113.37,62.5,5.95,615.6,1202.0,106.9,,1475211.5,1500.0,,Penyangga,sebelum
Berau,2015,143.99,124.0,66.07,5.72,208.9,10.0,116.3,,11719.5,1681097.8,,Non-IKN,sebelum
Bontang,2015,358.8,265.95,68.84,12.07,163.3,1001.0,109.9,,13182.0,2952284.5,,Non-IKN,sebelum
Kutai Barat,2015,146.04,127.7,66.89,11.7,145.8,11.0,111.9,,272728.8,1929293.5,,Non-IKN,sebelum
Kutai Kartanegara,2015,177.14,166.33,60.07,10.22,717.8,28.0,110.7,,269538.8,532273.8,,IKN Inti,sebelum
Kutai Timur,2015,292.2,264.56,59.89,5.14,320.1,10.0,118.5,,237863.9,931237.2,,Non-IKN,sebelum
Mahakam Ulu,2015,76.27,56.75,76.31,4.75,26.0,1.0,114.4,,,0.0,,Non-IKN,sebelum
Paser,2015,146.05,131.42,65.17,9.06,262.3,24.0,113.1,,5051.1,419295.9,,Penyangga,sebelum
Penajam Paser Utara,2015,48.32,41.38,63.63,7.28,154.2,53.0,109.5,,15730.4,375001.0,,IKN Inti,sebelum
Samarinda,2015,62.52,48.64,60.82,5.61,812.6,1134.0,107.1,,80416.3,789329.4,,Penyangga,sebelum
Balikpapan,2016,128.12,116.97,,,626.0,1222.0,106.9,1.69,401809.0,255038.0,3.18,Penyangga,sebelum
Berau,2016,143.44,118.52,,,214.8,10.0,116.3,2.82,185269.0,1160751.0,-4.42,Non-IKN,sebelum
Bontang,2016,331.04,256.7,,,166.9,1023.0,109.7,2.2,9833.0,456530.0,-3.48,Non-IKN,sebelum
Kutai Barat,2016,150.51,126.23,,,146.3,11.0,112.0,0.34,67080.0,2149922.0,-1.15,Non-IKN,sebelum
Kutai Kartanegara,2016,173.97,159.23,,,735.0,28.0,110.6,2.4,124771.0,521773.0,-4.27,IKN Inti,sebelum
Kutai Timur,2016,285.34,251.12,,,333.6,11.0,118.3,4.22,289147.0,1405388.0,-5.08,Non-IKN,sebelum
Mahakam Ulu,2016,82.11,58.42,,,26.1,1.0,114.7,0.38,,0.0,2.94,Non-IKN,sebelum
Paser,2016,139.01,122.1,,,268.3,24.0,113.1,2.29,27962.0,236088.0,-7.09,Penyangga,sebelum
Penajam Paser Utara,2016,49.24,40.72,,,156.0,53.0,109.6,1.17,18053.0,697635.0,-1.59,IKN Inti,sebelum
Samarinda,2016,63.56,47.98,,,828.3,1156.0,107.0,1.93,15686.0,2000.0,-1.36,Penyangga,sebelum
Balikpapan,2017,137.92,119.55,63.38,10.39,636.0,1279.0,106.7,1.6,171762.1,16026.3,2.21,Penyangga,sebelum
Berau,2017,161.63,118.89,66.0,6.45,220.6,11.0,116.2,2.7,8916.5,3256571.1,0.31,Non-IKN,sebelum
Bontang,2017,345.15,252.46,64.52,12.44,170.6,1089.0,109.4,2.22,18914.8,0.0,-1.65,Non-IKN,sebelum
Kutai Barat,2017,175.43,130.2,66.01,5.87,147.0,11.0,112.1,0.48,42137.6,1757095.5,3.15,Non-IKN,sebelum
Kutai Kartanegara,2017,198.41,158.15,62.95,5.72,752.1,30.0,110.5,2.33,230618.6,3878143.9,-0.68,IKN Inti,sebelum
Kutai Timur,2017,346.12,249.0,66.75,4.61,347.5,12.0,118.3,4.17,711562.6,1038267.6,-0.84,Non-IKN,sebelum
Mahakam Ulu,2017,88.87,60.43,77.12,9.05,26.3,1.0,113.7,0.77,2785.2,0.0,3.44,Non-IKN,sebelum
Paser,2017,160.3,120.85,62.15,5.54,274.2,26.0,112.8,2.2,31559.4,187688.3,-1.02,Penyangga,sebelum
Penajam Paser Utara,2017,53.77,41.26,61.0,4.75,157.7,55.0,109.4,1.09,20904.1,771528.4,1.33,IKN Inti,sebelum
Samarinda,2017,69.29,48.94,63.05,6.19,843.5,1218.0,106.9,1.84,46054.3,74895.3,2.0,Penyangga,sebelum
Balikpapan,2018,151.3,123.59,63.51,9.27,645.7,1279.0,106.7,1.53,47549.8,1172455.6,3.38,Penyangga,sebelum
Berau,2018,166.27,118.18,67.48,5.45,226.5,11.0,116.2,2.67,989.2,4120756.0,-0.6,Non-IKN,sebelum
Bontang,2018,337.45,237.17,64.72,9.41,174.2,1089.0,109.4,2.11,54775.1,2984.7,-6.06,Non-IKN,sebelum
Kutai Barat,2018,192.1,136.24,71.33,4.67,147.6,11.0,112.1,0.41,43957.6,3004858.1,4.64,Non-IKN,sebelum
Kutai Kartanegara,2018,210.47,157.94,64.14,5.74,769.3,30.0,110.5,2.29,91441.7,5416185.3,-0.13,IKN Inti,sebelum
Kutai Timur,2018,353.74,244.93,68.95,5.85,361.7,12.0,118.3,4.09,225675.8,1563296.5,-1.63,Non-IKN,sebelum
Mahakam Ulu,2018,95.32,63.59,79.02,4.03,26.3,1.0,113.7,0.0,11623.3,33826.5,5.23,Non-IKN,sebelum
Paser,2018,171.64,122.73,66.84,4.84,280.0,26.0,112.8,2.12,6.4,7944240.9,1.56,Penyangga,sebelum
Penajam Paser Utara,2018,55.7,41.35,64.53,4.62,159.4,55.0,109.4,1.08,9383.6,315473.8,0.22,IKN Inti,sebelum
Samarinda,2018,74.08,50.49,60.82,5.99,858.1,1218.0,106.9,1.73,102099.1,2367884.7,3.17,Penyangga,sebelum
Balikpapan,2019,165.69,132.06,65.44,7.15,655.2,1298.0,106.7,1.47,24974.2,2500507.1,6.85,Penyangga,pengumuman
Berau,2019,173.83,125.69,66.49,4.95,232.3,11.0,116.2,2.56,5950.9,3155176.2,6.35,Non-IKN,pengumuman
Bontang,2019,327.06,227.95,68.06,9.02,177.7,1111.0,109.4,2.01,280755.5,541894.7,-3.89,Non-IKN,pengumuman
Kutai Barat,2019,195.4,142.54,66.76,4.89,148.0,11.0,112.1,0.27,67924.5,2163608.8,4.62,Non-IKN,pengumuman
Kutai Kartanegara,2019,212.76,165.73,65.74,5.79,786.1,31.0,110.5,2.18,69568.7,6305287.0,4.93,IKN Inti,pengumuman
Kutai Timur,2019,367.11,262.75,68.85,5.45,376.1,13.0,118.3,3.98,324294.3,1852618.3,7.28,Non-IKN,pengumuman
Mahakam Ulu,2019,102.45,66.63,69.91,3.56,26.4,1.0,113.7,0.38,33524.4,499026.1,4.78,Non-IKN,pengumuman
Paser,2019,173.34,128.98,66.17,4.38,285.9,26.0,112.8,2.11,16060.9,1669261.9,5.09,Penyangga,pengumuman
Penajam Paser Utara,2019,57.76,42.8,64.33,6.03,160.9,56.0,109.4,0.94,18765.6,1556938.9,3.51,IKN Inti,pengumuman
Samarinda,2019,79.95,53.8,64.77,5.73,872.8,1239.0,106.9,1.71,21280.4,2429734.1,6.56,Penyangga,pengumuman
Balikpapan,2020,151.31,120.9,62.9,9.0,688.3,1344.0,105.2,5.05,36093.8,13849409.8,-8.45,Penyangga,sesudah
Berau,2020,143.67,110.79,67.4,5.08,248.0,11.0,115.9,6.76,16223.3,3615380.5,-11.85,Non-IKN,sesudah
Bontang,2020,311.88,220.31,69.24,9.46,178.9,1097.0,108.1,0.68,55613.3,881443.0,-3.35,Non-IKN,sesudah
Kutai Barat,2020,158.03,120.08,71.02,4.97,172.3,13.0,112.8,16.42,37063.6,1897214.3,-15.76,Non-IKN,sesudah
Kutai Kartanegara,2020,204.5,165.96,61.98,5.7,729.4,28.0,109.1,-7.21,63190.1,2284878.7,0.14,IKN Inti,sesudah
Kutai Timur,2020,268.8,216.03,68.96,5.45,434.5,14.0,117.6,15.53,117645.7,1317579.2,-17.78,Non-IKN,sesudah
Mahakam Ulu,2020,85.38,54.45,76.22,3.49,32.5,2.0,113.8,23.11,11453.8,508160.0,-18.28,Non-IKN,sesudah
Paser,2020,157.18,126.2,67.88,4.52,275.5,25.0,109.0,-3.64,16069.9,432992.3,-2.16,Penyangga,sesudah
Penajam Paser Utara,2020,50.78,37.06,69.04,6.22,178.7,61.0,107.4,11.06,5870.0,487048.2,-13.41,IKN Inti,sesudah
Samarinda,2020,80.36,54.41,65.16,8.26,828.0,1156.0,104.3,-5.13,18803.7,659902.8,1.13,Penyangga,sesudah
Balikpapan,2021,160.3,124.95,64.29,8.94,695.3,1357.0,104.8,1.02,193184.1,16773016.6,3.35,Penyangga,sesudah
Berau,2021,171.49,114.77,65.55,5.82,252.6,12.0,115.6,1.85,35752.7,445264.4,3.59,Non-IKN,sesudah
Bontang,2021,320.3,220.82,66.63,9.92,180.8,1109.0,107.8,1.06,65331.3,910229.6,0.23,Non-IKN,sesudah
Kutai Barat,2021,184.71,123.79,72.53,5.14,174.0,13.0,112.5,0.99,29653.6,1437227.9,3.09,Non-IKN,sesudah
Kutai Kartanegara,2021,241.07,168.75,64.46,5.66,733.6,28.0,108.8,0.58,122865.6,3319550.0,1.68,IKN Inti,sesudah
Kutai Timur,2021,310.29,209.04,67.97,5.35,449.2,14.0,117.2,3.38,248360.8,5279054.0,-3.24,Non-IKN,sesudah
Mahakam Ulu,2021,90.43,54.34,74.83,3.14,33.0,2.0,113.5,1.54,123.9,575498.9,-0.2,Non-IKN,sesudah
Paser,2021,193.82,131.57,65.34,5.7,277.6,25.0,108.7,0.76,31190.4,567121.5,4.26,Penyangga,sesudah
Penajam Paser Utara,2021,55.87,35.95,66.85,2.95,180.7,62.0,107.0,1.12,1602.8,404886.0,-3.0,IKN Inti,sesudah
Samarinda,2021,85.22,55.43,64.29,8.16,831.4,1160.0,103.9,0.41,17125.0,585533.3,1.87,Penyangga,sesudah
Balikpapan,2022,181.29,129.72,65.58,6.9,703.6,1380.0,104.5,1.19,51882.79,14681981.5,3.82,Penyangga,sesudah
Berau,2022,236.23,117.57,64.97,5.02,258.5,12.0,115.2,2.34,49370.49,2619004.0,2.44,Non-IKN,sesudah
Bontang,2022,344.15,223.21,72.08,7.81,183.2,1139.0,107.4,1.33,8.0,1243154.1,1.08,Non-IKN,sesudah
Kutai Barat,2022,247.4,128.44,69.68,4.62,176.0,13.0,112.1,1.15,198435.49,2631773.8,3.76,Non-IKN,sesudah
Kutai Kartanegara,2022,322.08,172.57,61.95,4.14,738.2,27.0,108.4,0.63,180418.48,10564907.7,2.26,IKN Inti,sesudah
Kutai Timur,2022,471.27,216.93,67.78,6.48,468.8,15.0,116.8,4.36,630925.93,3428929.9,3.77,Non-IKN,sesudah
Mahakam Ulu,2022,95.12,54.1,70.51,2.44,33.5,2.0,113.1,1.52,3808.0,284958.9,-0.44,Non-IKN,sesudah
Paser,2022,271.26,131.55,61.7,4.88,280.1,26.0,108.3,0.9,109068.58,1616947.7,-0.02,Penyangga,sesudah
Penajam Paser Utara,2022,69.5,39.35,68.4,2.12,183.0,58.0,106.7,1.27,9866.0,1253095.9,9.46,IKN Inti,sesudah
Samarinda,2022,98.88,58.54,62.96,6.78,834.8,1165.0,103.6,0.41,32438.0,1270879.5,5.61,Penyangga,sesudah
Balikpapan,2023,201.64,136.7,63.48,6.09,710.0,1393.0,104.5,0.91,244869.1,20501290.7,5.38,Penyangga,sesudah
Berau,2023,198.53,122.23,66.91,4.95,258.3,12.0,114.3,-0.08,46997.3,4303938.7,3.96,Non-IKN,sesudah
Bontang,2023,366.46,229.4,68.35,7.74,185.8,1156.0,106.0,1.42,10249.5,2413301.9,2.77,Non-IKN,sesudah
Kutai Barat,2023,222.08,134.64,70.51,6.16,177.1,13.0,111.3,0.62,105779.9,3253522.5,4.83,Non-IKN,sesudah
Kutai Kartanegara,2023,270.71,178.92,65.32,4.05,756.8,28.0,108.3,2.52,331153.7,9440538.2,3.68,IKN Inti,sesudah
Kutai Timur,2023,369.42,229.77,66.22,5.93,455.5,14.0,115.9,-2.84,458235.8,5241826.7,5.92,Non-IKN,sesudah
Mahakam Ulu,2023,100.94,54.87,75.0,2.09,33.8,2.0,109.2,0.9,23096.0,189188.7,1.42,Non-IKN,sesudah
Paser,2023,208.43,131.97,62.95,4.72,284.1,27.0,108.1,1.43,77903.8,2458132.4,0.32,Penyangga,sesudah
Penajam Paser Utara,2023,87.06,48.67,66.25,2.07,197.6,62.0,106.4,7.98,10907.2,1475716.7,23.68,IKN Inti,sesudah
Samarinda,2023,104.97,63.02,65.49,5.92,850.6,1187.0,103.5,1.89,23518.3,2894239.2,7.65,Penyangga,sesudah
Balikpapan,2024,214.11,139.69,66.8,6.22,717.2,1407.0,104.2,1.01,,,2.19,Penyangga,sesudah
Berau,2024,194.08,129.35,67.73,5.15,261.8,12.0,113.8,1.36,,,5.83,Non-IKN,sesudah
Bontang,2024,363.37,220.75,67.75,7.06,188.3,1171.0,105.3,1.35,,,-3.77,Non-IKN,sesudah
Kutai Barat,2024,222.05,143.51,70.28,5.58,178.7,13.0,110.8,0.9,,,6.59,Non-IKN,sesudah
Kutai Kartanegara,2024,259.19,181.08,65.19,4.11,789.8,29.0,107.9,4.36,,,1.21,IKN Inti,sesudah
Kutai Timur,2024,344.49,248.26,66.78,5.76,463.0,15.0,115.4,1.65,,,8.05,Non-IKN,sesudah
Mahakam Ulu,2024,110.2,56.05,70.01,2.51,34.2,2.0,107.7,1.18,,,2.15,Non-IKN,sesudah
Paser,2024,193.17,135.58,68.75,4.53,287.0,27.0,107.8,1.02,,,2.74,Penyangga,sesudah
Penajam Paser Utara,2024,87.15,46.96,73.1,2.05,267.7,84.0,105.7,35.48,,,-3.51,IKN Inti,sesudah
Samarinda,2024,114.69,67.88,65.5,5.75,858.1,1197.0,103.3,0.88,,,7.71,Penyangga,sesudah
